viewDate,areaMunKm,areaUcKm,uc,uf,municipio,geocod,className
06/10/2024,0.07,0,,AP,Pedra Branca do Amapari,1600154,MINERACAO
28/09/2024,0.13,0,,MT,Juina,5105150,MINERACAO
26/09/2024,0.07,0,,AP,Oiapoque,1600501,MINERACAO
26/09/2024,0.07,0,,PA,Jacareacanga,1503754,MINERACAO
26/09/2024,0.11,0.11,PARQUE NACIONAL DO RIO NOVO,PA,Itaituba,1503606,MINERACAO
21/09/2024,0.08,0,,AP,Calçoene,1600204,MINERACAO
13/10/2024,0.07,0,,PA,Jacareacanga,1503754,MINERACAO
14/10/2024,0.05,0,,AP,Calçoene,1600204,MINERACAO
14/10/2024,0.12,0,,AP,Calçoene,1600204,MINERACAO
14/10/2024,0.08,0,,AP,Calçoene,1600204,MINERACAO
20/09/2024,0.06,0,,AM,Japura,1302108,MINERACAO
12/09/2024,0.09,0.09,ESTAÇÃO ECOLÓGICA JUAMI-JAPURÁ,AM,Japura,1302108,MINERACAO
11/09/2024,0.07,0,,AP,Oiapoque,1600501,MINERACAO
11/09/2024,0.07,0,,AP,Oiapoque,1600501,MINERACAO
11/09/2024,0.1,0,,PA,Juruti,1503903,MINERACAO
16/10/2024,0.08,0,,AP,Calçoene,1600204,MINERACAO
11/09/2024,0.09,0,,PA,Itaituba,1503606,MINERACAO
11/09/2024,0.09,0.09,ÁREA DE PROTEÇÃO AMBIENTAL DO TAPAJÓS,PA,Itaituba,1503606,MINERACAO
11/09/2024,0.06,0.06,ÁREA DE PROTEÇÃO AMBIENTAL DO TAPAJÓS,PA,Itaituba,1503606,MINERACAO
11/09/2024,0.1,0,,PA,Jacareacanga,1503754,MINERACAO
11/09/2024,0.07,0,,PA,Jacareacanga,1503754,MINERACAO
06/09/2024,0.1,0.1,ÁREA DE PROTEÇÃO AMBIENTAL DO TAPAJÓS,PA,Itaituba,1503606,MINERACAO
22/10/2024,0.19,0,,MT,Conquista D'oeste,5103361,MINERACAO
06/09/2024,0.02,0.02,FLORESTA NACIONAL DO CREPORI,PA,Itaituba,1503606,MINERACAO
23/10/2024,0.15,0.15,FLORESTA NACIONAL DO TAPIRAPÉAQUIRI,PA,Maraba,1504208,MINERACAO
01/09/2024,0.08,0,,PA,Almeirim,1500503,MINERACAO
01/09/2024,0.07,0,,MT,Nova Guarita,5108808,MINERACAO
24/10/2024,0.12,0,,AP,Oiapoque,1600501,MINERACAO
24/10/2024,0.12,0,,AP,Calçoene,1600204,MINERACAO
31/10/2024,0.02,0,,PA,Jacareacanga,1503754,MINERACAO
28/08/2024,0.07,0,,AM,Jutai,1302306,MINERACAO
05/11/2024,0.08,0,,AP,Calçoene,1600204,MINERACAO
05/11/2024,0.01,0,,AP,Calçoene,1600204,MINERACAO
05/11/2024,0.09,0,,AP,Oiapoque,1600501,MINERACAO
05/11/2024,0.11,0,,AP,Oiapoque,1600501,MINERACAO
10/11/2024,0.07,0,,PA,Novo Progresso,1505031,MINERACAO
10/11/2024,0.08,0,,PA,Novo Progresso,1505031,MINERACAO
27/08/2024,0.06,0,,PA,Novo Progresso,1505031,MINERACAO
17/11/2024,0.07,0.07,FLORESTA NACIONAL DO AMANA,PA,Itaituba,1503606,MINERACAO
18/11/2024,0.09,0,,PA,Almeirim,1500503,MINERACAO
20/11/2024,0.11,0,,AP,Calçoene,1600204,MINERACAO
20/11/2024,0.08,0,,AP,Oiapoque,1600501,MINERACAO
20/11/2024,0.07,0,,AP,Oiapoque,1600501,MINERACAO
24/08/2024,0.1,0,,MT,Juina,5105150,MINERACAO
24/08/2024,0.08,0,,MT,Juina,5105150,MINERACAO
21/08/2024,0.11,0,,AM,Japura,1302108,MINERACAO
20/08/2024,0.13,0,,PA,Sao Felix do Xingu,1507300,MINERACAO
19/08/2024,0.17,0,,RR,Amajari,1400027,MINERACAO
17/08/2024,0.08,0,,AP,Oiapoque,1600501,MINERACAO
17/08/2024,0.11,0,,AP,Oiapoque,1600501,MINERACAO
17/08/2024,0.06,0.06,ÁREA DE PROTEÇÃO AMBIENTAL DO TAPAJÓS,PA,Itaituba,1503606,MINERACAO
03/12/2024,0.09,0,,AM,Japura,1302108,MINERACAO
03/12/2024,0.07,0,,AM,Japura,1302108,MINERACAO
08/12/2024,0.07,0,,PA,Ourilandia do Norte,1505437,MINERACAO
